Wall time,Step,Time,Value
1602429399.95,1.0,0.0,2.92747116089
1602429630.24,101.0,230.291965008,1.4078142643
1602429859.3,201.0,459.3449049,1.18673956394
1602430106.23,301.0,706.276149035,0.962509453297
1602430335.56,401.0,935.612883806,0.882297158241
1602430584.45,501.0,1184.50341272,0.626373767853
1602430813.68,601.0,1413.73335886,0.489745467901
1602431042.92,701.0,1642.96980882,0.469283282757
1602431294.61,801.0,1894.66401076,0.441430151463
1602431523.78,901.0,2123.82534194,0.42382389307
1602431768.34,1001.0,2368.38866878,0.369008183479
1602431997.49,1101.0,2597.54357886,0.277497053146
1602432226.63,1201.0,2826.67898774,0.232735395432
1602432474.61,1301.0,3074.66195989,0.155801355839
1602432703.38,1401.0,3303.42834187,0.178703397512
1602432951.18,1501.0,3551.23013401,0.154593959451
1602433180.26,1601.0,3780.31234193,0.120201744139
1602433409.28,1701.0,4009.32935286,0.112013757229
1602433660.18,1801.0,4260.23309088,0.136823475361
1602433889.16,1901.0,4489.20957184,0.109469585121
1602434134.22,2001.0,4734.26560378,0.135211259127
1602434141.82,2241.0,4741.87155104,0.0317103862762
1602434143.55,2385.0,4743.60272789,0.0925666838884
1602434145.26,2526.0,4745.31061292,0.026912489906
1602434147.02,2669.0,4747.06852603,0.0123529611155
1602434148.57,2796.0,4748.61976194,0.00756712956354
1602434150.14,2924.0,4750.1913619,0.0275646224618
1602434151.72,3056.0,4751.76627588,0.0525098927319
1602434153.45,3197.0,4753.49747682,0.0406927354634
1602434155.15,3340.0,4755.19575787,0.0493446812034
1602434157.44,3522.0,4757.48842096,0.0221513137221
1602434158.97,3652.0,4759.02465701,0.0136678181589
1602434160.7,3794.0,4760.75145292,0.0272788051516
1602434162.43,3937.0,4762.48418307,0.0559885725379
1602434164.0,4066.0,4764.04810905,0.0149678187445
1602434165.74,4211.0,4765.78731608,0.0643896460533
1602434167.28,4340.0,4767.33236694,0.0679358094931
1602434169.02,4483.0,4769.07403588,0.0513795427978
1602434170.75,4628.0,4770.80381703,0.0463728681207
1602434172.48,4772.0,4772.5277369,0.0326757319272
1602434174.2,4913.0,4774.24821401,0.0291683003306
1602434175.76,5044.0,4775.81449485,0.0608598552644
1602434177.31,5173.0,4777.36352587,0.0318752340972
1602434179.02,5314.0,4779.07278109,0.0662082061172
1602434180.55,5440.0,4780.601928,0.00860308110714
1602434182.29,5581.0,4782.33600497,0.0472671240568
1602434184.0,5726.0,4784.04705596,0.0349674075842
1602434185.71,5871.0,4785.75885701,0.00351117434911
1602434200.76,7054.0,4800.81421399,0.0354651324451
1602434202.46,7195.0,4802.5060811,0.0104004619643
1602434204.18,7338.0,4804.22977996,0.0118305645883
1602434205.9,7481.0,4805.95307207,0.0379294082522
1602434207.44,7610.0,4807.49075007,0.00623783329502
1602434208.98,7739.0,4809.03136802,0.0214114692062
1602434210.55,7868.0,4810.5951519,0.0208307355642
1602434212.09,7992.0,4812.1377821,0.0239661894739
1602434213.62,8119.0,4813.66697979,0.0354196280241
1602434215.32,8263.0,4815.36980104,0.0549753494561
1602434217.03,8406.0,4817.08140993,0.00751807307824
1602434218.76,8549.0,4818.81484294,0.0150055903941
1602434220.51,8692.0,4820.55623913,0.011049984023
1602434222.24,8835.0,4822.28769088,0.00741287600249
1602434223.79,8963.0,4823.84319091,0.0276471655816
1602434225.54,9106.0,4825.59267783,0.00992942973971
1602434227.11,9236.0,4827.1570859,0.020431920886
1602434228.65,9364.0,4828.70245004,0.0209589377046
1602434230.22,9495.0,4830.26632786,0.052065666765
1602434231.95,9637.0,4832.00200295,0.0201661381871
1602434233.52,9767.0,4833.56584287,0.00165098858997
1602434235.22,9909.0,4835.26504493,0.00524608045816
1602434255.82,11527.0,4855.86665606,0.00486678024754
1602434257.42,11659.0,4857.47277093,0.0051162224263
1602434259.15,11803.0,4859.200279,0.00341997295618
1602434260.87,11948.0,4860.91881704,0.00359068857506
1602434262.59,12091.0,4862.63727498,0.00375714479014
1602434264.13,12220.0,4864.18010902,0.0178393535316
1602434265.84,12364.0,4865.89461708,0.00481473747641
1602434267.41,12492.0,4867.45803308,0.00818869750947
