Wall time,Relative time (s),Step,Value
1585597427,0,1,0.1017
1585597559,132,2003,0.344399989
1585597750,323,4007,0.431499988
1585597880,453,6011,0.601899981
1585598070,643,8015,0.614099979
1585598200,773,10018,0.725199997
1585598330,903,12020,0.770099998
1585598521,1094,14024,0.790700018
1585598651,1224,16026,0.827300012
1585598841,1414,18029,0.796000004
1585598971,1544,20030,0.832300007
1585599162,1735,22033,0.792599976
1585599293,1866,24039,0.798900008
1585599423,1996,26043,0.841300011
1585599613,2186,28047,0.841099977
1585599743,2316,30050,0.84829998
1585599933,2506,32053,0.888499975
1585600063,2636,34057,0.904299974
1585600254,2827,36060,0.904500008
1585600384,2957,38065,0.904999971
1585600514,3087,40006,0.906199992
