Wall time,Relative time (s),Step,Value
1585084516,6828,18901,0.056445338
1585084550,6862,19001,0.030143509
1585084585,6897,19101,0.059350967
1585084620,6932,19201,0.053596888
1585084654,6966,19301,0.047013208
1585084688,7000,19401,0.045329213
1585084722,7034,19501,0.04043049
1585084757,7069,19601,0.034784511
1585084791,7103,19701,0.0527521
1585084826,7138,19801,0.048737478
1585084861,7173,19901,0.052339599
1585084915,7227,20001,0.062217921
1585084950,7262,20101,0.026026936
1585084984,7296,20201,0.050085753
1585085018,7330,20301,0.031718366
1585085053,7365,20401,0.031325337
1585085088,7400,20501,0.052309129
1585085123,7435,20601,0.044497721
1585085157,7469,20701,0.034362793
1585085192,7504,20801,0.059113223
1585085227,7539,20901,0.030364335
1585085262,7574,21001,0.050626025
1585085298,7610,21101,0.021356048
1585085335,7647,21201,0.062972799
1585085370,7682,21301,0.026137196
1585085405,7717,21401,0.038210407
1585085441,7753,21501,0.026454253
1585085476,7788,21601,0.028076623
1585085510,7822,21701,0.024404025
1585085549,7861,21801,0.08540801
1585085587,7899,21901,0.034439087
1585085640,7952,22001,0.064178467
1585085674,7986,22101,0.029985005
1585085708,8020,22201,0.05703453
1585085743,8055,22301,0.017554764
1585085780,8092,22401,0.044377919
1585085815,8127,22501,0.079642072
1585085850,8162,22601,0.045859739
1585085884,8196,22701,0.037953593
1585085919,8231,22801,0.040198527
1585085956,8268,22901,0.049016975
1585085991,8303,23001,0.053992592
1585086026,8338,23101,0.032720312
1585086061,8373,23201,0.043293133
1585086096,8408,23301,0.053740442
1585086131,8443,23401,0.033432178
1585086166,8478,23501,0.032694977
1585086202,8514,23601,0.047893196
1585086238,8550,23701,0.040791232
1585086273,8585,23801,0.031749304
1585086308,8620,23901,0.052853096
1585086362,8674,24001,0.046056554
1585086400,8712,24101,0.043703441
1585086434,8746,24201,0.025939863
1585086467,8779,24301,0.050822176
1585086503,8815,24401,0.044340409
1585086543,8855,24501,0.029256998
1585086582,8894,24601,0.030717352
1585086616,8928,24701,0.01713717
1585086650,8962,24801,0.04069104
1585086685,8997,24901,0.05950509
1585086724,9036,25001,0.021244528
1585086758,9070,25101,0.024550812
1585086794,9106,25201,0.03402824
1585086829,9141,25301,0.024895327
1585086863,9175,25401,0.058493283
1585086898,9210,25501,0.027571268
1585086933,9245,25601,0.071033537
1585086969,9281,25701,0.02921995
1585087006,9318,25801,0.025916606
1585087042,9354,25901,0.059866946
1585087096,9408,26001,0.035377551
1585087130,9442,26101,0.069216281
1585087165,9477,26201,0.053583212
1585087201,9513,26301,0.028636687
1585087236,9548,26401,0.046022005
1585087270,9582,26501,0.017548315
1585087305,9617,26601,0.053168762
1585087340,9652,26701,0.05250366
1585087375,9687,26801,0.050898179
1585087410,9722,26901,0.037598312
1585087446,9758,27001,0.032059956
1585087481,9793,27101,0.040518753
1585087517,9829,27201,0.060976651
1585087552,9864,27301,0.017419102
1585087586,9898,27401,0.039235458
1585087622,9934,27501,0.039196834
1585087659,9971,27601,0.049327094
1585087696,10008,27701,0.038588971
1585087732,10044,27801,0.043193683
1585087770,10082,27901,0.028274009
1585087825,10137,28001,0.032890581
1585087861,10173,28101,0.042420425
1585087896,10208,28201,0.019839946
1585087931,10243,28301,0.031508733
1585087966,10278,28401,0.06794104
1585088002,10314,28501,0.022367097
1585088038,10350,28601,0.035090469
1585088073,10385,28701,0.023794726
1585088108,10420,28801,0.035011481
1585088143,10455,28901,0.031467985
1585088179,10491,29001,0.036718488
1585088216,10528,29101,0.041600332
1585088252,10564,29201,0.023886412
1585088288,10600,29301,0.047966991
1585088326,10638,29401,0.018046066
1585088364,10676,29501,0.05950252
1585088401,10713,29601,0.029331218
1585088439,10751,29701,0.030588601
1585088476,10788,29801,0.030381106
1585088511,10823,29901,0.035410725
1585088564,10876,30001,0.109071568
1585088599,10911,30101,0.043666836
1585088634,10946,30201,0.029533975
1585088673,10985,30301,0.051411856
1585088711,11023,30401,0.054062515
1585088746,11058,30501,0.024479818
1585088780,11092,30601,0.036825813
1585088817,11129,30701,0.022602148
1585088852,11164,30801,0.040299732
1585088886,11198,30901,0.04428871
1585088922,11234,31001,0.028867828
1585088957,11269,31101,0.050099969
1585088992,11304,31201,0.036051296
1585089026,11338,31301,0.055103321
1585089060,11372,31401,0.069705307
1585089097,11409,31501,0.053956121
1585089133,11445,31601,0.027094478
1585089170,11482,31701,0.069691785
1585089207,11519,31801,0.019968536
1585089242,11554,31901,0.028966229
1585089293,11605,32001,0.024876557
1585089328,11640,32101,0.013024335
1585089364,11676,32201,0.00602854
1585089399,11711,32301,0.019103801
1585089435,11747,32401,0.010798957
1585089475,11787,32501,0.003167905
1585089510,11822,32601,0.005864335
1585089547,11859,32701,0.008797695
1585089588,11900,32801,0.002432984
1585089621,11933,32901,0.005229148
1585089654,11966,33001,0.002536526
1585089688,12000,33101,0.001243727
1585089722,12034,33201,0.002587576
1585089755,12067,33301,0.001234832
1585089788,12100,33401,0.001878734
1585089821,12133,33501,0.001787576
1585089855,12167,33601,0.00403527
