Wall time,Relative time (s),Step,Value
1586840543,0,0,0.100000001
1586841222,679,1000,0.796599984
1586841901,1358,2000,0.832199991
1586842580,2037,3000,0.85619998
1586843259,2716,4000,0.861299992
1586843939,3396,5000,0.869899988
1586844618,4075,6000,0.86650002
1586845297,4754,7000,0.871900022
1586845976,5433,8000,0.873600006
1586846656,6113,9000,0.874599993
1586847334,6791,10000,0.876100004
1586847953,7410,11000,0.876699984
1586848632,8089,12000,0.878199995
1586849312,8769,13000,0.880400002
1586849991,9448,14000,0.878600001
1586850671,10128,15000,0.884899974
1586851350,10807,16000,0.883700013
1586852029,11486,17000,0.884000003
1586852709,12166,18000,0.880999982
1586853388,12845,19000,0.886300027
1586854068,13525,20000,0.882700026
1586854747,14204,21000,0.8926
1586855366,14823,22000,0.889800012
1586856045,15502,23000,0.887199998
1586856725,16182,24000,0.882799983
1586857404,16861,25000,0.885299981
1586858084,17541,26000,0.89200002
1586858764,18221,27000,0.887099981
1586859443,18900,28000,0.896300018
1586860122,19579,29000,0.8926
1586860802,20259,30000,0.889299989
1586861483,20940,31000,0.892199993
1586862164,21621,32000,0.89200002
1586862783,22240,33000,0.910899997
1586863464,22921,34000,0.911800027
