Wall time,Relative time (s),Step,Value,Norm value
1587040851,8377,12201,0.027269414,0.00742654
1587040918,8444,12301,0.027959174,0.007614389
1587040986,8512,12401,0.028336314,0.007717099
1587041054,8580,12501,0.025416676,0.006921968
1587041121,8647,12601,0.026785394,0.007294722
1587041189,8715,12701,0.029557202,0.008049595
1587041256,8782,12801,0.022951029,0.006250474
1587041324,8850,12901,0.022473589,0.006120448
1587041401,8927,13001,0.024874847,0.006774406
1587041468,8994,13101,0.027989808,0.007622733
1587041536,9062,13201,0.035574976,0.009688475
1587041603,9129,13301,0.022718325,0.0061871
1587041671,9197,13401,0.033455104,0.009111148
1587041738,9264,13501,0.025837004,0.007036438
1587041805,9331,13601,0.039594922,0.010783264
1587041872,9398,13701,0.030753013,0.008375262
1587041940,9466,13801,0.024223693,0.006597069
1587042007,9533,13901,0.024218537,0.006595667
1587042085,9611,14001,0.022765946,0.006200069
1587042152,9678,14101,0.03234902,0.008809918
1587042220,9746,14201,0.027050342,0.007366878
1587042287,9813,14301,0.026584012,0.007239878
1587042355,9881,14401,0.026914515,0.007329886
1587042422,9948,14501,0.021339985,0.005811721
1587042490,10016,14601,0.022314198,0.00607704
1587042557,10083,14701,0.025308313,0.006892454
1587042624,10150,14801,0.022193944,0.006044288
1587042691,10217,14901,0.02746395,0.007479521
1587042770,10296,15001,0.02300117,0.006264129
1587042838,10364,15101,0.024062932,0.006553288
1587042906,10432,15201,0.023232384,0.006327097
1587042973,10499,15301,0.029705465,0.008089972
1587043040,10566,15401,0.027018471,0.007358199
1587043107,10633,15501,0.018256536,0.004971978
1587043175,10701,15601,0.029794171,0.008114132
1587043242,10768,15701,0.02939425,0.008005218
1587043310,10836,15801,0.023635011,0.006436749
1587043377,10903,15901,0.024659371,0.006715722
1587043454,10980,16001,0.011146797,0.003035715
1587043522,11048,16101,0.023903646,0.00650991
1587043590,11116,16201,0.027783392,0.007566517
1587043657,11183,16301,0.02219585,0.006044808
1587043724,11250,16401,0.018099682,0.004929259
1587043791,11317,16501,0.021165602,0.005764231
1587043859,11385,16601,0.021898493,0.005963826
1587043927,11453,16701,0.031771652,0.008652678
1587043994,11520,16801,0.018823668,0.00512643
1587044061,11587,16901,0.022858076,0.00622516
1587044140,11666,17001,0.016018853,0.004362567
1587044208,11734,17101,0.015234626,0.004148993
1587044276,11802,17201,0.023183633,0.00631382
1587044343,11869,17301,0.016287502,0.004435731
1587044410,11936,17401,0.020446001,0.005568255
1587044478,12004,17501,0.016242338,0.004423432
1587044545,12071,17601,0.01925062,0.005242706
1587044613,12139,17701,0.024236061,0.006600438
1587044680,12206,17801,0.027859863,0.007587342
1587044747,12273,17901,0.014042158,0.003824236
1587044825,12351,18001,0.026001718,0.007081297
1587044892,12418,18101,0.01959233,0.005335767
1587044960,12486,18201,0.018451422,0.005025052
1587045027,12553,18301,0.020172521,0.005493776
1587045094,12620,18401,0.025224935,0.006869749
1587045162,12688,18501,0.023478013,0.006393991
1587045229,12755,18601,0.02020259,0.005501965
1587045296,12822,18701,0.026639819,0.007255077
1587045364,12890,18801,0.020883106,0.005687297
1587045431,12957,18901,0.02214195,0.006030129
1587045510,13036,19001,0.029324513,0.007986225
1587045578,13104,19101,0.011780098,0.003208187
1587045645,13171,19201,0.028530847,0.00777008
1587045712,13238,19301,0.028112147,0.007656051
1587045780,13306,19401,0.029493384,0.008032215
1587045847,13373,19501,2.073293924,0.564639989
1587045914,13440,19601,1.62347436,0.442136321
1587045981,13507,19701,1.464991093,0.398975054
1587046048,13574,19801,1.26042223,0.343262857
1587046115,13641,19901,1.05363512,0.286946543
1587046193,13719,20001,0.868435681,0.236509406
1587046260,13786,20101,0.714266539,0.194523047
1587046327,13853,20201,0.603658199,0.164400019
1587046394,13920,20301,0.496161371,0.135124378
1587046461,13987,20401,0.423431605,0.115317186
1587046528,14054,20501,0.409464598,0.111513416
1587046596,14122,20601,0.321894526,0.08766462
1587046663,14189,20701,0.332018405,0.090421753
1587046730,14256,20801,0.255990803,0.069716426
1587046797,14323,20901,0.243903399,0.066424549
1587046876,14402,21001,0.218348563,0.059464954
1587046944,14470,21101,0.235258251,0.064070132
1587047011,14537,21201,0.185844749,0.050612881
1587047078,14604,21301,0.181030735,0.049301835
1587047145,14671,21401,0.179267734,0.048821698
1587047212,14738,21501,0.146300614,0.039843446
1587047279,14805,21601,0.164065853,0.044681624
1587047346,14872,21701,0.134042904,0.036505187
1587047414,14940,21801,0.131617814,0.035844739
1587047481,15007,21901,0.110041983,0.029968786
1587047559,15085,22001,0.128575325,0.035016151
1587047626,15152,22101,0.121043876,0.032965039
1587047693,15219,22201,0.105365843,0.028695288
1587047760,15286,22301,0.114589192,0.031207172
1587047828,15354,22401,0.100371823,0.027335219
1587047895,15421,22501,0.099276155,0.027036827
1587047962,15488,22601,0.086390056,0.023527432
1587048029,15555,22701,0.087805584,0.023912935
1587048097,15623,22801,0.105476335,0.028725379
1587048163,15689,22901,0.101086438,0.027529838
1587048241,15767,23001,0.092912301,0.025303696
1587048309,15835,23101,0.086649403,0.023598061
1587048376,15902,23201,0.079583354,0.021673696
1587048443,15969,23301,0.065812796,0.01792343
1587048510,16036,23401,0.071569942,0.019491327
1587048577,16103,23501,0.075490318,0.020559002
1587048644,16170,23601,0.071464211,0.019462533
1587048711,16237,23701,0.07865034,0.0214196
1587048778,16304,23801,0.077531695,0.02111495
1587048845,16371,23901,0.082903996,0.02257804
1587048924,16450,24001,0.072276175,0.019683664
1587048991,16517,24101,0.072958231,0.019869414
1587049058,16584,24201,0.074874148,0.020391194
1587049125,16651,24301,0.073149383,0.019921471
1587049192,16718,24401,0.090335086,0.02460182
1587049259,16785,24501,0.068413347,0.018631663
1587049326,16852,24601,0.059766486,0.016276781
1587049393,16919,24701,0.060198706,0.016394491
1587049461,16987,24801,0.057468474,0.015650939
1587049527,17053,24901,0.058951888,0.016054933
1587049605,17131,25001,0.069632836,0.018963778
1587049672,17198,25101,0.058670677,0.015978348
1587049740,17266,25201,0.060997158,0.016611941
1587049807,17333,25301,0.068881012,0.018759025
1587049874,17400,25401,0.057708107,0.015716202
1587049941,17467,25501,0.058221772,0.015856092
1587050008,17534,25601,0.05491709,0.014956097
1587050075,17601,25701,0.057183683,0.015573379
1587050142,17668,25801,0.055052053,0.014992852
1587050209,17735,25901,0.060507391,0.016478557
1587050288,17814,26001,0.060389958,0.016446576
1587050355,17881,26101,0.055014174,0.014982536
1587050423,17949,26201,0.060071353,0.016359806
1587050490,18016,26301,0.053004734,0.014435286
1587050558,18084,26401,0.053568199,0.014588741
1587050624,18150,26501,0.06679935,0.018192107
1587050692,18218,26601,0.041517857,0.011306956
1587050759,18285,26701,0.054013304,0.014709959
1587050826,18352,26801,0.062895499,0.017128934
1587050893,18419,26901,0.038922071,0.01060002
1587050971,18497,27001,0.039499957,0.010757402
1587051038,18564,27101,0.066938207,0.018229924
1587051106,18632,27201,0.042428534,0.011554968
1587051173,18699,27301,0.046192084,0.012579932
1587051240,18766,27401,0.050539002,0.01376377
1587051308,18834,27501,0.060490843,0.01647405
1587051375,18901,27601,0.056094326,0.015276706
1587051442,18968,27701,0.032830715,0.008941104
1587051509,19035,27801,0.039270218,0.010694835
1587051576,19102,27901,0.047615506,0.012967588
1587051656,19182,28001,0.036034558,0.009813637
1587051723,19249,28101,0.051528826,0.01403334
1587051791,19317,28201,0.039783247,0.010834553
1587051857,19383,28301,0.048359238,0.013170135
1587051925,19451,28401,0.043846186,0.011941053
1587051991,19517,28501,0.050271139,0.013690821
1587052059,19585,28601,0.043275811,0.011785716
1587052126,19652,28701,0.031242102,0.00850846
1587052194,19720,28801,0.049794648,0.013561054
1587052261,19787,28901,0.03901799,0.010626143
1587052340,19866,29001,0.053378943,0.014537198
1587052407,19933,29101,0.05473417,0.014906281
1587052475,20001,29201,0.046475787,0.012657197
1587052542,20068,29301,0.051747724,0.014092952
1587052609,20135,29401,0.037221164,0.010136795
1587052676,20202,29501,0.03606461,0.009821821
1587052743,20269,29601,0.031974375,0.008707889
1587052810,20336,29701,0.041236456,0.01123032
1587052877,20403,29801,0.035779241,0.009744103
1587052944,20470,29901,0.059707541,0.016260726
1587053022,20548,30001,0.044176061,0.01203089
1587053089,20615,30101,0.050871246,0.013854255
1587053157,20683,30201,0.035175499,0.009579681
1587053223,20749,30301,0.047230579,0.012862756
1587053291,20817,30401,0.043529555,0.011854822
1587053357,20883,30501,0.03567487,0.009715679
1587053425,20951,30601,0.053311553,0.014518845
1587053491,21017,30701,0.042810053,0.011658871
1587053559,21085,30801,0.044013552,0.011986632
1587053626,21152,30901,0.037794001,0.010292802
1587053708,21234,31001,0.044516616,0.012123637
1587053775,21301,31101,0.035807826,0.009751889
1587053842,21368,31201,0.038739994,0.010550432
1587053909,21435,31301,0.03622558,0.009865659
1587053976,21502,31401,0.050578453,0.013774514
1587054043,21569,31501,0.054579332,0.014864112
1587054110,21636,31601,0.039995976,0.010892488
1587054178,21704,31701,0.032794125,0.008931139
1587054245,21771,31801,0.035255924,0.009601582
1587054312,21838,31901,0.052459043,0.014286673
1587054390,21916,32001,0.043821961,0.011934454
1587054457,21983,32101,0.033876136,0.009225814
1587054524,22050,32201,0.046320401,0.012614878
1587054591,22117,32301,0.062948205,0.017143286
1587054658,22184,32401,0.026160937,0.007124659
1587054725,22251,32501,0.045836847,0.012483188
1587054793,22319,32601,0.04268676,0.011625294
1587054860,22386,32701,0.028240178,0.007690919
1587054928,22454,32801,0.039703984,0.010812965
1587054994,22520,32901,0.038869675,0.010585752
1587055077,22603,33001,0.040629104,0.011064912
1587055144,22670,33101,0.042905185,0.011684781
1587055211,22737,33201,0.02729675,0.007433985
1587055278,22804,33301,0.03867764,0.010533452
1587055346,22872,33401,0.037993453,0.01034712
1587055413,22939,33501,0.036044005,0.00981621
1587055480,23006,33601,0.035653569,0.009709878
1587055547,23073,33701,0.033208389,0.009043959
1587055614,23140,33801,0.034747705,0.009463174
1587055681,23207,33901,0.035300329,0.009613677
1587055758,23284,34001,0.023977581,0.006530044
1587055825,23351,34101,0.035565883,0.009685997
1587055893,23419,34201,0.040386848,0.010998938
1587055959,23485,34301,0.038675252,0.010532801
1587056027,23553,34401,0.040308218,0.010977524
1587056094,23620,34501,0.031519637,0.008584045
1587056161,23687,34601,0.034444146,0.009380505
1587056228,23754,34701,0.028366335,0.007725274
1587056295,23821,34801,0.043990828,0.011980444
1587056362,23888,34901,0.037702367,0.010267848
1587056440,23966,35001,0.039736018,0.010821691
1587056507,24033,35101,0.039332125,0.010711696
1587056574,24100,35201,0.036319315,0.009891188
1587056641,24167,35301,0.03095443,0.008430116
1587056708,24234,35401,0.030658187,0.008349438
1587056775,24301,35501,0.028621873,0.007794868
1587056843,24369,35601,0.042105533,0.011467002
