Wall time,Time,Progress,Step,Norm loss,Value
1588298808,388,0.2199509403,13988,0.2876136769,0.85817879
1588298811,391,0.2218378514,14108,0.2762837439,0.82437265
1588298821,401,0.227325618,14457,0.1899546601,0.5667848
1588298824,404,0.2291968048,14576,0.3244632685,0.96813023
1588298827,407,0.2310679917,14695,0.2112958442,0.63046241
1588298830,410,0.2328605573,14809,0.2019389522,0.60254341
1588298833,413,0.2347474684,14929,0.2556055287,0.7626732
1588298837,417,0.2366501038,15050,0.2049678987,0.61158115
1588298847,427,0.2425938738,15428,0.2006299358,0.59863758
1588298850,430,0.244480785,15548,0.2462802408,0.7348485
1588298853,433,0.2462576263,15661,0.2454270976,0.7323029
1588298856,436,0.2480344676,15774,0.2464074884,0.73522818
1588298859,439,0.2498427574,15889,0.1996418568,0.59568936
1588298862,442,0.2517296685,16009,0.2101513903,0.6270476
1588298865,445,0.2535379584,16124,0.2346451288,0.70013177
1588298877,457,0.2600949745,16541,0.1648618848,0.49191323
1588298880,460,0.2619661614,16660,0.1549232997,0.46225858
1588298883,463,0.2638058997,16777,0.1602964059,0.4782908
1588298886,466,0.2655670168,16889,0.2428271023,0.72454506
1588298889,469,0.2673281338,17001,0.1211602223,0.36151665
1588298892,472,0.2691678722,17118,0.1851711698,0.55251187
1588298904,484,0.2756934398,17533,0.1479474668,0.44144416
1588298907,487,0.2775017297,17648,0.1552751375,0.46330839
1588298910,490,0.2793729165,17767,0.2025962471,0.60450464
1588298913,493,0.2811654821,17881,0.1613444019,0.4814178
1588298916,496,0.283036669,18000,0.1787628601,0.53339082
1588298919,499,0.2848449588,18115,0.1634150202,0.48759609
1588298929,509,0.2901125857,18450,0.1656233861,0.49418539
1588298932,512,0.2919208755,18565,0.1704509612,0.50858986
1588298934,514,0.2937134411,18679,0.1107149628,0.33035019
1588298937,517,0.2955060067,18793,0.1217871062,0.36338714
1588298940,520,0.2973771935,18912,0.1445417712,0.43128228
1588298943,523,0.2991854834,19027,0.1164232199,0.34738243
1588298946,526,0.3009937732,19142,0.1361944175,0.40637553
1588298957,537,0.3066859551,19504,0.1333637356,0.39792937
1588298960,540,0.3085099692,19620,0.1082339336,0.32294732
1588298963,543,0.3103654318,19738,0.1731454271,0.51662958
1588298966,546,0.3121737216,19853,0.1570172507,0.46850649
1588298969,549,0.3140606327,19973,0.1149529924,0.34299558
1588298972,552,0.3158531983,20087,0.1848021894,0.55141091
1588298983,563,0.3219856595,20477,0.1121747305,0.33470583
1588298986,566,0.3238096736,20593,0.1358683959,0.40540275
1588298989,569,0.325712309,20714,0.2077321382,0.61982906
1588298992,572,0.3275048745,20828,0.1794907297,0.53556263
1588298994,574,0.3292345431,20938,0.1160544372,0.34628206
1588298998,578,0.3311214542,21058,0.09986077036,0.29796356
1588299001,581,0.332929744,21173,0.1282336191,0.38262218
1588299014,594,0.3401786276,21634,0.08256487776,0.24635625
1588299017,597,0.3419869174,21749,0.1248173564,0.37242877
1588299020,600,0.3437952072,21864,0.1109723971,0.33111832
1588299023,603,0.3455877728,21978,0.09405997658,0.28065521
1588299026,606,0.3473488899,22090,0.08915567018,0.26602179
1588299029,609,0.3491100069,22202,0.1135846085,0.33891261
1588299038,618,0.3540474244,22516,0.07577606201,0.22609985
1588299040,620,0.3558085414,22628,0.1139811143,0.3400957
1588299043,623,0.357601107,22742,0.09515412868,0.28391993
1588299046,626,0.3595037424,22863,0.09257478824,0.27622372
1588299050,630,0.3613906535,22983,0.1166211628,0.34797305
1588299053,633,0.3632775646,23103,0.09439233912,0.28164691
1588299067,647,0.3712969369,23613,0.1278140922,0.3813704
1588299070,650,0.3731366753,23730,0.08396993981,0.25054866
1588299073,653,0.3749606894,23846,0.1331917597,0.39741623
1588299076,656,0.3767375307,23959,0.1003624411,0.29946044
1588299079,659,0.378640166,24080,0.113007517,0.33719069
1588299082,662,0.3805113529,24199,0.1053621027,0.31437838
1588299091,671,0.3854802189,24515,0.09372337782,0.27965087
1588299094,674,0.3873514057,24634,0.1525673597,0.45522895
1588299097,677,0.3892068684,24752,0.1193446923,0.35609949
1588299100,680,0.3910151582,24867,0.1071734802,0.31978315
1588299103,683,0.3929020693,24987,0.1083919172,0.32341871
1588299106,686,0.3946946349,25101,0.07131551674,0.21279052
1588299109,689,0.3965658217,25220,0.09193423376,0.27431244
1588299119,699,0.401550412,25537,0.1165908993,0.34788275
1588299121,701,0.4033429775,25651,0.1409949867,0.42069942
1588299125,705,0.4052298887,25771,0.08788412624,0.26222777
1588299128,708,0.4071167998,25891,0.09939919966,0.29658633
1588299131,711,0.4090037109,26011,0.1035836766,0.30907193
1588299134,714,0.4108906221,26131,0.1214806504,0.36247274
1588299146,726,0.4177149506,26565,0.1151293118,0.34352168
1588299149,729,0.4195232405,26680,0.09163303293,0.27341372
1588299152,732,0.4214258758,26801,0.1502353356,0.44827068
1588299155,735,0.4232970627,26920,0.07932359729,0.23668495
1588299158,738,0.4252154224,27042,0.06900774033,0.2059046
1588299161,741,0.4270079879,27156,0.05993443399,0.17883176
1588299173,753,0.4337065224,27582,0.05962435854,0.17790656
1588299176,756,0.4355148123,27697,0.09288879158,0.27716064
1588299179,759,0.4374174476,27818,0.073456331,0.21917826
1588299182,762,0.4392100132,27932,0.08079740748,0.24108249
1588299185,765,0.4411283729,28054,0.06453342734,0.19255419
1588299189,769,0.4429681112,28171,0.08137725393,0.24281263
1588299200,780,0.4495565759,28590,0.06179545643,0.18438466
1588299203,783,0.4513491415,28704,0.08702430364,0.25966224
1588299206,786,0.4532046041,28822,0.07345710518,0.21918057
1588299209,789,0.4550757909,28941,0.05941780915,0.17729026
1588299212,792,0.4568683565,29055,0.1146939829,0.34222275
1588299215,795,0.4586451978,29168,0.09077038172,0.27083975
1588299227,807,0.4655009749,29604,0.08801347181,0.26261371
1588299230,810,0.4673407133,29721,0.06820550892,0.20351091
