Wall time,Time,Progress,Step,Norm loss,Value,Loss alpha,Loss alpha abs
1588298690,270,0.1507170262,9585,0.4602613176,1.37332308,-0.18680417,0.18680417
1588298693,273,0.1525095918,9699,0.4029836558,1.20241857,0.17090451,0.17090451
1588298696,276,0.1543493301,9816,0.4503380452,1.34371412,-0.14129555,0.14129555
1588298700,280,0.1562519655,9937,0.4694590999,1.40076733,-0.05705321,0.05705321
1588298703,283,0.1581546009,10058,0.4444970978,1.32628596,0.07448137,0.07448137
1588298713,293,0.164098371,10436,0.386615114,1.15357828,0.17270768,0.17270768
1588298717,297,0.1660010064,10557,0.4505527889,1.34435487,-0.19077659,0.19077659
1588298719,299,0.1677621234,10669,0.3604911803,1.07562995,0.26872492,0.26872492
1588298722,302,0.1695861375,10785,0.4219673917,1.25906205,-0.1834321,0.1834321
1588298725,305,0.1713629788,10898,0.538140708,1.60569882,-0.34663677,0.34663677
1588298728,308,0.1731555444,11012,0.4294498186,1.28138804,0.32431078,0.32431078
1588298739,319,0.1789735203,11382,0.2831462109,0.84484881,0.43653923,0.43653923
1588298742,322,0.1808132587,11499,0.3559390937,1.06204748,-0.21719867,0.21719867
1588298745,325,0.1825429272,11609,0.3558671014,1.06183267,0.00021481,0.00021481
1588298748,328,0.1843669413,11725,0.3473785949,1.03650475,0.02532792,0.02532792
1588298751,331,0.1861437826,11838,0.3413138349,1.01840878,0.01809597,0.01809597
1588298753,333,0.1879520725,11953,0.3572233195,1.06587934,-0.04747056,0.04747056
1588298757,337,0.1898389836,12073,0.3357527128,1.00181556,0.06406378,0.06406378
1588298770,350,0.1972765583,12546,0.2794348605,0.83377492,0.16804064,0.16804064
1588298773,353,0.1991634694,12666,0.3265546523,0.97437048,-0.14059556,0.14059556
1588298776,356,0.2010661048,12787,0.3489528747,1.04120207,-0.06683159,0.06683159
1588298779,359,0.2029372917,12906,0.4380764414,1.30712807,-0.265926,0.265926
1588298782,362,0.2048084785,13025,0.3303224746,0.98561287,0.3215152,0.3215152
1588298793,373,0.2107050758,13400,0.3050871792,0.91031605,0.07529682,0.07529682
1588298796,376,0.2125605384,13518,0.2766613341,0.8254993,0.08481675,0.08481675
1588298799,379,0.2144631738,13639,0.3238353791,0.96625674,-0.14075744,0.14075744
1588298802,382,0.2163658092,13760,0.2301146992,0.68661392,0.27964282,0.27964282
1588298805,385,0.2181583747,13874,0.2555618192,0.76254278,-0.07592886,0.07592886
1588298808,388,0.2199509403,13988,0.2876136769,0.85817879,-0.09563601,0.09563601
1588298811,391,0.2218378514,14108,0.2762837439,0.82437265,0.03380614,0.03380614
1588298821,401,0.227325618,14457,0.1899546601,0.5667848,0.25758785,0.25758785
1588298824,404,0.2291968048,14576,0.3244632685,0.96813023,-0.40134543,0.40134543
1588298827,407,0.2310679917,14695,0.2112958442,0.63046241,0.33766782,0.33766782
1588298830,410,0.2328605573,14809,0.2019389522,0.60254341,0.027919,0.027919
1588298833,413,0.2347474684,14929,0.2556055287,0.7626732,-0.16012979,0.16012979
1588298837,417,0.2366501038,15050,0.2049678987,0.61158115,0.15109205,0.15109205
1588298847,427,0.2425938738,15428,0.2006299358,0.59863758,0.01294357,0.01294357
1588298850,430,0.244480785,15548,0.2462802408,0.7348485,-0.13621092,0.13621092
1588298853,433,0.2462576263,15661,0.2454270976,0.7323029,0.0025456,0.0025456
1588298856,436,0.2480344676,15774,0.2464074884,0.73522818,-0.00292528,0.00292528
1588298859,439,0.2498427574,15889,0.1996418568,0.59568936,0.13953882,0.13953882
1588298862,442,0.2517296685,16009,0.2101513903,0.6270476,-0.03135824,0.03135824
1588298865,445,0.2535379584,16124,0.2346451288,0.70013177,-0.07308417,0.07308417
1588298877,457,0.2600949745,16541,0.1648618848,0.49191323,0.20821854,0.20821854
1588298880,460,0.2619661614,16660,0.1549232997,0.46225858,0.02965465,0.02965465
1588298883,463,0.2638058997,16777,0.1602964059,0.4782908,-0.01603222,0.01603222
1588298886,466,0.2655670168,16889,0.2428271023,0.72454506,-0.24625426,0.24625426
1588298889,469,0.2673281338,17001,0.1211602223,0.36151665,0.36302841,0.36302841
1588298892,472,0.2691678722,17118,0.1851711698,0.55251187,-0.19099522,0.19099522
1588298904,484,0.2756934398,17533,0.1479474668,0.44144416,0.11106771,0.11106771
