Wall time,Time,Step,Value
1593576808,0,0,0.1027000025
1593577180,371.4224999,250,0.4286000133
1593577551,742.77387,500,0.7930999994
1593577862,1054.15176,750,0.8393999934
1593577933,1125.12654,800,0.8478000164
1593578245,1190.55362,2841,0.7703999877
1593578315,1261.12562,4823,0.7459999919
1593578326,1271.37413,6835,0.7791000009
1593578396,1341.81645,8883,0.8493000269
1593578467,1412.39867,10856,0.8561999798
1593578477,1422.99348,12869,0.8590999842
1593578548,1493.64685,14877,0.8463000059
1593578618,1564.14152,18981,0.8537999988
1593578689,1634.65022,20926,0.8567000031
1593578759,1705.07437,22989,0.8715999722
1593578770,1715.44559,24930,0.8410999775
1593578840,1785.95916,26940,0.8859999776
1593578911,1856.71463,30972,0.8711000085
1593578981,1927.20069,32976,0.9107999802
1593579052,1997.62142,34981,0.9131000042
1593579062,2008.15055,37025,0.9132000208
1593579133,2078.67621,39008,0.9147999883
1593579203,2148.90885,43125,0.915899992
1593579274,2219.4139,45067,0.9143999815
1593579344,2289.97331,47042,0.9160000086
1593579355,2300.45603,49101,0.915899992
1593579425,2371.15145,51144,0.9154999852
1593579496,2441.78341,55090,0.9171000123
1593579566,2512.2914,57150,0.9167000055
1593579577,2522.63304,58414,0.915899992
