Wall time,Time,Step,Value
1600102128,0,0,0.009999999776
1600102272,144.9280901,250,0.1194999963
1600102478,350.4776301,500,0.2520000041
1600102623,495.5069201,750,0.3504000008
1600102829,701.1057801,1000,0.4309999943
1600102974,846.6163101,1250,0.4930000007
1600103180,1052.00826,1500,0.4623999894
1600103325,1197.18973,1750,0.5225999951
1600103530,1402.71316,2000,0.5406000018
1600103677,1549.16407,2250,0.5539000034
1600103882,1754.67185,2500,0.5487999916
1600104027,1899.94916,2750,0.5680999756
1600104233,2105.51514,3000,0.5372999907
1600104378,2250.92058,3250,0.5357000232
1600104584,2456.45032,3500,0.5681999922
1600104729,2601.88083,3750,0.5426999927
1600104936,2808.69991,4000,0.5536999702
1600105082,2954.21804,4250,0.5536999702
1600105287,3159.5267,4500,0.5903999805
1600105433,3304.97244,4750,0.5896000266
1600105638,3510.66635,5000,0.457100004
1600105783,3655.94025,5250,0.5475999713
1600105989,3861.50317,5500,0.5407999754
1600106135,4007.00724,5750,0.5436999798
1600106340,4212.33837,6000,0.5435000062
1600106485,4357.87185,6250,0.5712000132
1600106691,4563.49678,6500,0.5863999724
1600106837,4708.99909,6750,0.5846999884
1600107043,4915.07852,7000,0.5357999802
1600107188,5060.33006,7250,0.5590999722
1600107394,5266.1102,7500,0.5688999891
1600107539,5411.5458,7750,0.5738999844
1600107745,5617.12856,8000,0.5799000263
1600107890,5762.5606,8250,0.7272999883
1600108096,5968.1096,8500,0.7329000235
1600108241,6113.49546,8750,0.7344999909
1600108447,6319.10147,9000,0.736899972
1600108592,6464.46133,9250,0.7354999781
1600108798,6670.36948,9500,0.7358999848
1600108944,6816.07867,9750,0.7397000194
1600109149,7021.87942,10000,0.7375000119
1600109295,7167.44575,10250,0.7379999757
1600109501,7373.2732,10500,0.7382000089
1600109646,7518.60373,10750,0.7411000133
1600109852,7724.76269,11000,0.7389000058
1600109998,7870.05959,11250,0.7408999801
1600110203,8075.84542,11500,0.7386000156
1600110409,8281.57399,11750,0.738499999
1600110555,8427.44818,12000,0.7402999997
1600110761,8632.99742,12250,0.7401000261
1600110906,8778.49936,12500,0.7401999831
1600111051,8923.80912,12750,0.7408999801
1600111257,9129.33729,13000,0.7405999899
1600111402,9274.45131,13250,0.7401000261
1600111608,9480.06331,13500,0.7404999733
1600111754,9626.22684,13750,0.7426000237
1600111959,9831.86438,14000,0.7416999936
1600112105,9977.18573,14250,0.742200017
1600112310,10182.62962,14500,0.7397000194
1600112456,10328.15568,14750,0.7421000004
1600112661,10533.79786,15000,0.7401999831
1600112867,10739.29947,15250,0.7411000133
1600113012,10884.86288,15500,0.741599977
1600113218,11090.51339,15750,0.7411999702
1600113363,11235.87721,16000,0.7427999973
