Wall time,Raw Time,Step,Value,Time
1590612827,0,145,4.021381378,0
1590612833,6.50861001,277,2.419775486,6.50861001
1590612837,10.13579011,393,2.334732056,10.13579011
1590612840,12.95486999,512,2.19716692,12.95486999
1590612843,15.75399995,631,2.320539474,15.75399995
1590612845,18.57121992,751,2.335836887,18.57121992
1590612849,22.27613997,903,2.008170605,22.27613997
1590612852,25.12298012,1023,1.81086874,25.12298012
1590612855,27.79503012,1136,1.941017866,27.79503012
1590612857,30.58846998,1255,1.899251938,30.58846998
1590612860,33.40609002,1376,1.875769496,33.40609002
1590612863,36.21729994,1494,1.816366911,36.21729994
1590612866,38.86223006,1607,1.791525602,38.86223006
1590612869,41.67316008,1726,1.783265471,41.67316008
1590612871,44.48192,1844,1.807758808,44.48192
1590612874,47.32831001,1964,1.815089941,47.32831001
1590612883,56.03225994,2297,1.618180633,56.03225994
1590612886,58.9112401,2418,1.833892941,58.9112401
1590612889,61.70941997,2537,1.797004223,61.70941997
1590612891,64.54119992,2657,1.684925199,64.54119992
1590612894,67.37608004,2776,1.721463442,67.37608004
1590612897,70.22425008,2896,1.583372831,70.22425008
1590612900,72.87529993,3010,1.764491439,72.87529993
1590612903,75.70893002,3130,1.621599913,75.70893002
1590612905,78.55157995,3250,1.66042161,78.55157995
1590612908,81.42174006,3371,1.496470213,81.42174006
1590612911,84.25803995,3490,1.51191771,84.25803995
1590612914,87.10518003,3610,1.542548656,87.10518003
1590612917,89.95238996,3730,1.55586946,89.95238996
1590612920,92.77723002,3849,1.552124977,92.77723002
1590612923,95.63253999,3969,1.548222303,95.63253999
1590612933,106.31879,4373,1.539723396,106.31879
1590612936,109.03444,4487,1.6216681,109.03444
1590612939,111.8943801,4608,1.462450504,111.8943801
1590612942,114.73476,4728,1.446913123,114.73476
1590612944,117.38638,4841,1.415887475,117.38638
1590612947,120.1888599,4960,1.538649559,120.1888599
1590612950,123.0349801,5081,1.344332099,123.0349801
1590612953,125.86867,5200,1.546422839,125.86867
1590612956,128.6817801,5319,1.39669919,128.6817801
1590612958,131.51089,5439,1.304576755,131.51089
1590612961,134.32778,5558,1.362771392,134.32778
1590612964,137.2230101,5680,1.558152199,137.2230101
1590612967,139.89961,5792,1.252846956,139.89961
1590612969,142.59428,5906,1.326703548,142.59428
1590612972,145.24333,6017,1.609736919,145.24333
1590612988,160.8520901,6600,1.242770076,160.8520901
1590612991,163.6814201,6720,1.153257489,163.6814201
1590612993,166.5452299,6841,1.287736058,166.5452299
1590612996,169.3952899,6961,1.191870689,169.3952899
1590612999,172.22439,7080,1.372575164,172.22439
1590613002,174.90675,7192,1.150541902,174.90675
1590613005,177.70101,7311,1.295090199,177.70101
1590613007,180.5450301,7431,1.257246971,180.5450301
1590613010,183.40347,7550,1.096613765,183.40347
1590613013,186.01302,7662,1.43656373,186.01302
1590613016,188.8769901,7782,1.209084988,188.8769901
1590613018,191.56517,7896,0.972623229,191.56517
1590613021,194.4226601,8016,1.262966156,194.4226601
1590613031,204.5373001,8395,1.069879532,204.5373001
1590613034,207.3394401,8511,1.103738427,207.3394401
1590613037,210.2103801,8631,1.196825981,210.2103801
1590613040,212.92167,8746,1.106599331,212.92167
1590613043,215.7795999,8867,1.05924058,215.7795999
1590613045,218.6175599,8986,1.016703606,218.6175599
1590613048,221.4484301,9106,1.025268555,221.4484301
1590613051,224.2828901,9227,0.9133068323,224.2828901
1590613054,226.96263,9340,0.9206396341,226.96263
1590613057,229.8227501,9461,0.959297955,229.8227501
1590613060,232.6334701,9580,0.9147514701,232.6334701
1590613062,235.4895599,9699,0.9025896788,235.4895599
1590613065,238.3310499,9819,0.9647828341,238.3310499
1590613068,241.12848,9937,0.7567178011,241.12848
1590613079,252.1046901,10357,0.8184377551,252.1046901
1590613082,254.9233701,10475,0.8205979466,254.9233701
1590613084,257.6105599,10589,0.7482241392,257.6105599
1590613087,260.42735,10709,0.6928262711,260.42735
1590613090,263.2481101,10829,0.6465548873,263.2481101
1590613093,266.0779901,10947,0.8389174342,266.0779901
1590613096,268.87744,11065,0.729823947,268.87744
1590613099,271.72701,11186,0.6423978209,271.72701
1590613101,274.55827,11305,0.7197158933,274.55827
1590613104,277.37743,11424,0.7538148165,277.37743
1590613107,280.03351,11536,0.7286404371,280.03351
1590613110,282.7105701,11649,0.871163547,282.7105701
1590613112,285.3880601,11763,0.6095825434,285.3880601
1590613115,288.20959,11883,0.8554525375,288.20959
1590613118,291.0509,12003,0.5791066885,291.0509
1590613128,301.4703701,12397,0.5811942816,301.4703701
1590613131,304.1598501,12510,0.8007189035,304.1598501
1590613134,306.9444301,12628,0.6293885708,306.9444301
1590613137,309.7556,12748,0.6842067838,309.7556
1590613139,312.38346,12859,0.6462382078,312.38346
1590613142,315.20363,12978,0.6860731244,315.20363
1590613145,318.0464301,13098,0.5831648111,318.0464301
1590613148,320.8592601,13218,0.6331980824,320.8592601
1590613151,323.69396,13337,0.3554288745,323.69396
1590613153,326.3892701,13451,0.5149407983,326.3892701
1590613156,329.07741,13564,0.4625571966,329.07741
1590613159,331.77193,13676,0.5084599257,331.77193
1590613161,334.4828401,13791,0.5783964992,334.4828401
1590613164,337.3427601,13910,0.610476017,337.3427601
1590613167,340.0344901,14025,0.6334704161,340.0344901
1590613181,354.01231,14547,0.5365124345,354.01231
1590613184,356.71208,14660,0.4929174483,356.71208
1590613186,359.5459001,14780,0.57120502,359.5459001
1590613189,362.35274,14900,0.4878964424,362.35274
1590613192,365.1984301,15018,0.5487260222,365.1984301
