Wall time,Step,Value
1600532781.014355,1,1.4585521221160889
1600532847.733359,101,1.6492584943771362
1600532913.470745,201,1.543333649635315
1600532978.951254,301,1.3484504222869873
1600533044.564516,401,1.1962826251983643
1600533118.754182,501,1.0807604789733887
1600533184.424525,601,0.9922964572906494
1600533249.899844,701,0.9234610199928284
1600533315.691205,801,0.8700177669525146
1600533381.123922,901,0.8295508623123169
1600533460.016251,1001,0.8004880547523499
1600533525.413359,1101,0.7806515693664551
1600533591.083434,1201,0.7698042988777161
1600533656.475974,1301,0.7653891444206238
1600533722.062272,1401,0.7665926814079285
1600533800.130762,1501,0.7712637782096863
1600533865.712474,1601,0.7794234156608582
1600533931.160673,1701,0.7897434234619141
1600533996.873894,1801,0.802336573600769
1600534062.276119,1901,0.8168018460273743
1600534330.17613,2001,0.8329304456710815
1600534354.290825,2143,0.8300714492797852
1600534360.121819,2264,0.8279598355293274
1600534365.994734,2385,0.8251974582672119
1600534371.557483,2502,0.8224909901618958
1600534377.439624,2619,0.8196319937705994
1600534383.349305,2739,0.8168449401855469
1600534388.844136,2854,0.81415194272995
1600534394.367314,2968,0.811585545539856
1600534399.897368,3083,0.809084415435791
1600534405.427327,3199,0.8070014715194702
1600534410.940935,3314,0.8046492338180542
1600534416.462481,3428,0.8024253845214844
1600534421.953522,3542,0.8006598353385925
1600534427.465976,3657,0.7994903922080994
1600534433.20639,3776,0.797463059425354
1600534438.725157,3892,0.7956379652023315
1600534444.207411,4007,0.7938541173934937
1600534449.688809,4120,0.7922585010528564
1600534455.218504,4235,0.7904872894287109
1600534460.921383,4355,0.7887312769889832
1600534466.752033,4475,0.7873501777648926
1600534472.248628,4590,0.7858766317367554
1600534478.105559,4711,0.7843157052993774
1600534483.574202,4825,0.7825685143470764
1600534489.09735,4940,0.7809818387031555
1600534494.632704,5057,0.7795525193214417
1600534500.138555,5173,0.7779358625411987
1600534505.994902,5294,0.7763010859489441
1600534511.499309,5408,0.775007426738739
1600534517.04985,5526,0.773449182510376
1600534522.923113,5647,0.7715232968330383
1600534528.434168,5762,0.7700657248497009
1600534533.977313,5876,0.7688353061676025
