Wall time,Step,Value
1600462252.235875,1,1.4574896097183228
1600462318.125685,101,1.731612205505371
1600462383.109167,201,1.542646050453186
1600462447.676358,301,1.353771686553955
1600462512.511808,401,1.2058629989624023
1600462590.101595,501,1.0946323871612549
1600462654.943584,601,1.010748267173767
1600462719.439723,701,0.9453561305999756
1600462784.275336,801,0.8954358100891113
1600462848.832295,901,0.8572999835014343
1600462930.325035,1001,0.829789936542511
1600462994.856458,1101,0.8104899525642395
1600463059.744755,1201,0.7996470928192139
1600463124.223534,1301,0.794264018535614
1600463188.993189,1401,0.7931889891624451
1600463265.011258,1501,0.7969874739646912
1600463329.734623,1601,0.8044933676719666
1600463394.278363,1701,0.8146336674690247
1600463459.163173,1801,0.8266574740409851
1600463523.692721,1901,0.8387991189956665
1600463600.257208,2001,0.8532692193984985
1600463664.776522,2101,0.8665758371353149
1600463729.504197,2201,0.8806870579719543
1600463794.017513,2301,0.8953048586845398
1600463858.793256,2401,0.9094908237457275
1600463934.548873,2501,0.9229347705841064
1600463999.281104,2601,0.9345471262931824
1600464063.661699,2701,0.9483257532119751
1600464128.547831,2801,0.9564169645309448
1600464193.112404,2901,0.9684281945228577
1600464267.420048,3001,0.976520299911499
1600464331.867336,3101,0.9831792712211609
1600464396.671726,3201,0.9938588738441467
1600464461.228017,3301,1.002939224243164
1600464525.925961,3401,1.0103846788406372
1600464602.473293,3501,1.0166248083114624
1600464667.204823,3601,1.022993803024292
1600464731.711008,3701,1.0255595445632935
1600464796.453501,3801,1.0296075344085693
1600464860.967276,3901,1.0341014862060547
1600465129.065262,4001,1.0399610996246338
1600465153.824331,4145,1.0346388816833496
1600465159.30963,4260,1.0296194553375244
1600465164.78766,4375,1.024200439453125
1600465170.466045,4494,1.0184051990509033
1600465176.212439,4612,1.0126702785491943
1600465181.641178,4727,1.007115364074707
1600465187.086634,4840,1.0016945600509644
1600465192.565345,4956,0.9963524341583252
1600465197.981256,5071,0.9913198947906494
1600465203.411522,5185,0.9861874580383301
1600465208.894047,5299,0.9808655977249146
1600465214.361659,5415,0.9754832983016968
1600465219.801932,5529,0.9703125953674316
1600465225.273392,5643,0.9652381539344788
1600465230.909251,5763,0.9604038000106812
1600465236.584206,5881,0.9552696943283081
1600465242.393155,6002,0.949940025806427
1600465247.834161,6117,0.9448580741882324
1600465253.273048,6232,0.9402591586112976
1600465258.710156,6347,0.9355843663215637
1600465264.507254,6468,0.9306302666664124
1600465269.938443,6582,0.926142156124115
1600465275.38468,6697,0.9218800663948059
1600465280.783525,6810,0.9175814390182495
1600465286.225392,6927,0.9130192995071411
1600465291.64828,7039,0.908592164516449
1600465297.090554,7154,0.9040255546569824
1600465302.515936,7267,0.8997207880020142
1600465307.959265,7381,0.8954806327819824
1600465313.369084,7497,0.8913823962211609
1600465318.807326,7611,0.8871798515319824
1600465324.230427,7726,0.883346438407898
1600465330.037968,7847,0.8792842626571655
1600465335.62414,7965,0.8752536773681641
1600465345.929979,8164,0.868233859539032
1600465351.596459,8283,0.8639890551567078
1600465357.020205,8398,0.860033392906189
1600465362.441894,8512,0.856234073638916
1600465367.884733,8627,0.8525973558425903
1600465373.4988,8745,0.8490374684333801
1600465379.33255,8866,0.846237301826477
1600465384.784785,8983,0.8451259732246399
1600465390.379692,9100,0.843733012676239
1600465396.189657,9220,0.8411649465560913
1600465401.625864,9335,0.8385850191116333
1600465407.066464,9449,0.8359441161155701
1600465412.551958,9563,0.8328855037689209
1600465417.978257,9678,0.8296308517456055
1600465423.43544,9792,0.8269749879837036
1600465428.908406,9908,0.8236259818077087
1600465434.338748,10022,0.8200728297233582
1600465440.143551,10144,0.81623375415802
1600465445.598333,10259,0.8125497698783875
1600465451.403401,10380,0.8085715770721436
1600465456.864376,10496,0.8045585751533508
1600465462.314149,10610,0.800765872001648
1600465467.735878,10725,0.797307550907135
1600465473.411976,10842,0.7932658791542053
1600465478.848176,10957,0.7893262505531311
1600465484.225024,11070,0.7857143878936768
1600465489.66001,11186,0.7822122573852539
1600465495.515983,11307,0.7788307666778564
1600465500.965292,11425,0.7756325006484985
